^CGroup,"Migration ID",Status,Total,Imported,Unprocessed,"Last Imported"
"Default (default)",d7_node_revision:person_profile,Idle,1495,0,1495,
"Default (default)",d7_node_revision:place_profile,Idle,2462,0,2462,
"Default (default)",d7_node_revision:post,Idle,7318,0,7318,
"Default (default)",d7_node_revision:procurement_advertisement,Idle,0,0,0,
"Default (default)",d7_node_revision:program_initiative_profile,Idle,10247,0,10247,
"Default (default)",d7_node_revision:public_notice,Idle,8807,0,8807,
"Default (default)",d7_node_revision:script_page,Idle,442,0,442,
"Default (default)",d7_node_revision:site_alert,Idle,9,0,9,
"Default (default)",d7_node_revision:status_item,Idle,472,0,472,
"Default (default)",d7_node_revision:tabbed_content,Idle,33,0,33,
"Default (default)",d7_node_revision:topic_page,Idle,1876,0,1876,
"Default (default)",d7_node_revision:transaction,Idle,16,0,16,
"Default (default)",d7_node_translation:advpoll,Idle,0,0,0,
"Default (default)",d7_node_translation:article,Idle,0,0,0,
"Default (default)",d7_node_translation:change,Idle,0,0,0,
"Default (default)",d7_node_translation:department_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:emergency_alert,Idle,0,0,0,
"Default (default)",d7_node_translation:event,Idle,0,0,0,
"Default (default)",d7_node_translation:how_to,Idle,0,0,0,
"Default (default)",d7_node_translation:landing_page,Idle,0,0,0,
"Default (default)",d7_node_translation:listing_page,Idle,0,0,0,
"Default (default)",d7_node_translation:metrolist_affordable_housing,Idle,0,0,0,
"Default (default)",d7_node_translation:person_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:place_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:post,Idle,0,0,0,
"Default (default)",d7_node_translation:procurement_advertisement,Idle,0,0,0,
"Default (default)",d7_node_translation:program_initiative_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:public_notice,Idle,0,0,0,
"Default (default)",d7_node_translation:script_page,Idle,0,0,0,
"Default (default)",d7_node_translation:site_alert,Idle,0,0,0,
"Default (default)",d7_node_translation:status_item,Idle,0,0,0,
"Default (default)",d7_node_translation:tabbed_content,Idle,0,0,0,
"Default (default)",d7_node_translation:topic_page,Idle,0,0,0,
"Default (default)",d7_node_translation:transaction,Idle,0,0,0,
"Default (default)",d7_url_alias,Idle,28021,0,28021,
"Default (default)",d7_rdf_mapping,Idle,0,0,0,
"Default (default)",d7_menu,Idle,8,0,8,
"Default (default)",d7_menu_links,Idle,47,0,47,
"Default (default)",d7_taxonomy_term:commissions,Idle,62,0,62,
"Default (default)",d7_taxonomy_term:procurement_footer,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:procurement_type,Idle,5,0,5,
"Default (default)",d7_taxonomy_term:massachusetts_general_law,Idle,9,0,9,
"Default (default)",d7_taxonomy_term:bid_type,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:bid_offering,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:maps_basemap,Idle,1,1,0,"2018-09-17 16:26:16"
"Default (default)",d7_taxonomy_term:maps_esri_feed,Idle,1,0,1,
"Default (default)",d7_taxonomy_term:newsletters,Idle,65,0,65,
"Default (default)",d7_taxonomy_term:public_notice_type,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:holidays,Idle,15,0,15,
"Default (default)",d7_taxonomy_term:311_request,Idle,98,98,0,"2018-09-17 16:31:15"
"Default (default)",d7_taxonomy_term:type_of_content,Idle,33,0,33,
"Default (default)",d7_taxonomy_term:topic_category,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:icons,Idle,20,0,20,
"Default (default)",d7_taxonomy_term:features,Idle,32,0,32,
"Default (default)",d7_taxonomy_term:place_type,Idle,8,0,8,
"Default (default)",d7_taxonomy_term:program_type,Idle,12,0,12,
"Default (default)",d7_taxonomy_term:profile_type,Idle,1,0,1,
"Default (default)",d7_taxonomy_term:political_party,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:neighborhoods,Idle,23,23,0,"2018-09-17 16:28:14"
"Default (default)",d7_taxonomy_term:event_type,Idle,14,0,14,
"Default (default)",d7_taxonomy_term:news_tags,Idle,62,0,62,
"Default (default)",d7_taxonomy_term:contact,Idle,74,0,74,
"Default (default)",d7_entity_reference_translation:comment__comment,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:comment__comment_node_change,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:vote__vote,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:vote_result__vote_result,Idle,N/A,0,N/A,
"Default (default)",node_translation_menu_links,Idle,47,0,47,
